evtid,nC_x,nC_y,nC_z,nC_material,nC_global_time,nC_gamma_amount,nC_gamma_total_energy,nC_detected
88,-550.2616972770787,3987.222923518926,-3871.984403977173,1,9e-06,4,10.065370205385404,1
90,1292.4249375509978,-2368.774734887094,-4590.644249868337,3,0.0003028,1,2.223045802964146,0
91,3238.787547002621,-1768.2838791898446,-4510.801405199711,4,7.62e-05,2,4.01877901937104,1
93,3221.6513340366255,-2400.905250822288,5.64104244851321,1,1.06e-05,4,9.92234262781352,1
94,1835.4883076571064,-3571.614801119734,1565.158119099427,1,1.8599999999999998e-05,4,6.61734946549362,1
95,3007.8501586411608,-2348.573460037903,2638.6534463713406,3,7.3e-05,1,2.22304861166635,1
98,2532.3984889962226,-1908.814345156065,2588.7434085138875,3,0.0001114,1,2.2230499257231613,1
101,-3140.1102480017203,2532.9618243396335,-405.3228639283388,1,6.799999999999999e-06,4,3.5758626688579196,1
102,-2748.2160149525166,-2925.983855373691,-3097.7491780358378,1,2.34e-05,4,7.620393362982845,1
103,-3131.013878653207,2567.3363727061746,1891.363686870089,1,1.94e-05,4,5.824625096404648,1
104,-578.3366798926024,-4005.229460587831,1047.2746171778917,1,6.44e-05,4,7.123233035559943,1
105,-1622.6371825692825,-3669.4375037507284,1446.1321780664018,1,1.9999999999999998e-05,4,13.094192895587843,1
106,-964.6682147295446,-806.8783256510683,2643.556980084217,3,6.24e-05,1,2.223055099485471,1
107,-1758.985990594387,3609.818932952495,1674.2248434483959,1,4.9999999999999996e-06,4,7.882821717405916,1
108,-862.2560306136224,4878.55958087687,604.291998184553,2,0.0001852,1,2.223056634262095,1
111,-88.24502785974057,4022.6686114879426,958.1830202451087,1,4.9999999999999996e-06,4,14.19564264061635,1
112,-2781.623885668032,1677.0953711920642,2748.214326652855,3,0.0006598,1,2.2230605005082134,1
113,-3112.885111292907,2667.2089632255183,2283.770064040931,3,2.02e-05,1,2.2230593527692055,0
114,3150.657547918859,3434.573988335899,-2231.0864242024068,3,0.0001316,1,2.2230630410518524,0
115,3757.3891535715134,-2650.333293845437,-2927.543683504519,3,0.000143,1,2.2230541778859982,0
116,3630.638267215172,-2265.39807895773,-2843.7873478312554,3,9.6e-06,1,2.2230558407629313,1
117,3849.1464428298573,-2622.9760110844354,-2675.830191736256,3,0.000101,1,2.2230596309615573,1
118,3733.014317412949,-2459.3920955806057,-2827.9806938193187,3,0.00013419999999999998,1,2.2230505485676626,1
119,3737.288131533756,-2685.760172486413,-2407.436653573173,3,0.00019219999999999998,1,2.223056987638975,1
121,3938.251236116402,-3092.1686376703196,-3127.322539680713,2,8.599999999999999e-05,1,2.223052990381758,1
123,3714.8496629060237,-2841.0945822124527,-3044.778894230803,3,2.2e-06,1,2.2230505660603,1
124,3675.239165776132,-2964.3661258836605,-3030.67160567555,3,3.04e-05,1,2.2230574175513467,1
125,3601.147385710398,-2716.7638126910833,-3111.809851192699,3,0.000207,1,2.2230593617399825,1
126,3521.053466588674,-2595.2877944551515,-2826.2909535073873,3,0.0002242,1,2.223057473836828,1
127,3686.80446554605,-2742.3188396836176,-2968.7584814201223,3,7.92e-05,1,2.223047471896399,1
129,2652.6365382603476,-3049.690276217256,-2879.612956505091,1,5.18e-05,4,7.6807393570693865,1
130,3648.9120400093752,-2958.759192845492,-2217.902031018281,3,4.26e-05,1,2.223057662215486,1
308,1491.9794914074953,584.623641214072,2792.464654897411,3,6.86e-05,1,2.2230635931645075,1
311,2322.089653219274,3285.943283002462,-3168.672417385439,1,5.7199999999999994e-05,4,14.050707506070475,1
312,-1270.713864942952,-1318.1860236162838,2576.3673848990775,3,0.000299,1,2.2230621627476537,1
315,3184.8962018634943,1540.8770207853627,-5212.048711650324,3,0.0002382,1,2.2230558714331714,1
316,497.8000399194633,2269.8343764153474,-5223.293237216901,3,0.000174,1,2.2230574181693936,1
317,-792.9909211666286,1764.8922160582401,-5043.377144427488,3,0.00019899999999999999,1,2.223050766022501,1
318,2375.588464558434,-3274.808415570245,1551.2208051232494,1,0.0001098,1,2.223053054225782,1
319,-3311.9965386271356,2363.2993515917506,-4115.0284701324745,3,0.0001482,1,2.2230595946664793,1
320,-2314.220191283013,-2404.8635701222424,2579.2065340173313,3,0.00013319999999999999,1,2.2230547110596257,1
321,3595.247047411271,1859.3241326117125,172.66840696195075,1,1.42e-05,4,5.112908277253377,1
