iteration,fidelity,n_samples,water_shielding_mm,veto_thickness_mm,y_cnp,y_cnp_err,y_raw,log_prop,bce
0.00000,0.00000,15000.00000,46.20000,80.00000,0.23218,0.00566,0.24427,0.56865,0.07541
0.00000,0.00000,15000.00000,56.20000,70.00000,0.23359,0.00566,0.24100,0.56247,0.05757
0.00000,0.00000,10000.00000,96.20000,30.00000,0.22350,0.00693,0.22150,0.56747,0.07248
0.00000,0.00000,15000.00000,66.20000,60.00000,0.22927,0.00566,0.23967,0.56887,0.07621
0.00000,0.00000,15000.00000,56.20000,70.00000,0.22809,0.00566,0.23380,0.56341,0.06066
0.00000,0.00000,10000.00000,96.20000,30.00000,0.22534,0.00693,0.22570,0.56796,0.07598
0.00000,0.00000,15000.00000,36.20000,90.00000,0.23388,0.00566,0.24693,0.57045,0.08117
0.00000,0.00000,15000.00000,56.20000,70.00000,0.22955,0.00566,0.23733,0.56208,0.05620
0.00000,0.00000,10000.00000,106.20000,20.00000,0.22251,0.00693,0.22120,0.56832,0.07528
0.00000,0.00000,15000.00000,66.20000,60.00000,0.23085,0.00566,0.24067,0.56674,0.06928
0.00000,0.00000,15000.00000,56.20000,70.00000,0.23473,0.00566,0.24367,0.56423,0.06214
0.00000,0.00000,10000.00000,106.20000,20.00000,0.22389,0.00693,0.22210,0.56873,0.07641
0.00000,0.00000,15000.00000,46.20000,80.00000,0.23169,0.00566,0.24287,0.56645,0.06881
0.00000,0.00000,15000.00000,56.20000,70.00000,0.22875,0.00566,0.23380,0.56251,0.05735
0.00000,0.00000,10000.00000,96.20000,30.00000,0.22242,0.00693,0.22200,0.57086,0.08441
0.00000,0.00000,15000.00000,46.20000,80.00000,0.22929,0.00566,0.23967,0.56675,0.06936
0.00000,0.00000,15000.00000,86.20000,40.00000,0.23026,0.00566,0.23680,0.56130,0.05436
0.00000,0.00000,10000.00000,96.20000,30.00000,0.22871,0.00693,0.22780,0.56757,0.07468
0.00000,0.00000,15000.00000,36.20000,90.00000,0.23042,0.00566,0.24013,0.56718,0.07189
0.00000,0.00000,15000.00000,86.20000,40.00000,0.23111,0.00566,0.23733,0.56210,0.05644
0.00000,0.00000,10000.00000,106.20000,20.00000,0.22605,0.00693,0.22510,0.56802,0.07560
0.00000,0.00000,15000.00000,36.20000,90.00000,0.23416,0.00566,0.24573,0.56819,0.07402
0.00000,0.00000,15000.00000,16.20000,110.00000,0.23002,0.00566,0.23513,0.56306,0.05885
0.00000,0.00000,10000.00000,106.20000,20.00000,0.22486,0.00693,0.22460,0.56873,0.07607
0.00000,0.00000,15000.00000,66.20000,60.00000,0.22580,0.00566,0.23560,0.56712,0.07056
0.00000,0.00000,15000.00000,86.20000,40.00000,0.23044,0.00566,0.23680,0.56130,0.05445
0.00000,0.00000,10000.00000,106.20000,20.00000,0.22195,0.00693,0.22200,0.56657,0.07014
0.00000,0.00000,15000.00000,46.20000,80.00000,0.23590,0.00566,0.25013,0.56982,0.07853
0.00000,0.00000,15000.00000,16.20000,110.00000,0.23372,0.00566,0.24113,0.56258,0.05807
0.00000,0.00000,10000.00000,106.20000,20.00000,0.22279,0.00693,0.22170,0.56740,0.07417
0.00000,0.00000,15000.00000,36.20000,90.00000,0.23397,0.00566,0.24513,0.56761,0.07242
0.00000,0.00000,15000.00000,56.20000,70.00000,0.23073,0.00566,0.23853,0.56409,0.06213
0.00000,0.00000,10000.00000,96.20000,30.00000,0.22743,0.00693,0.22660,0.56731,0.07249
0.00000,0.00000,15000.00000,66.20000,60.00000,0.23416,0.00566,0.24447,0.56691,0.07178
0.00000,0.00000,15000.00000,16.20000,110.00000,0.23230,0.00566,0.24307,0.56826,0.07525
0.00000,0.00000,10000.00000,96.20000,30.00000,0.22899,0.00693,0.22880,0.56821,0.07528
0.00000,0.00000,15000.00000,66.20000,60.00000,0.22759,0.00566,0.23620,0.56728,0.07221
0.00000,0.00000,15000.00000,56.20000,70.00000,0.23242,0.00566,0.23880,0.56221,0.05729
0.00000,0.00000,10000.00000,96.20000,30.00000,0.22861,0.00693,0.22880,0.56853,0.07620
0.00000,0.00000,15000.00000,46.20000,80.00000,0.23102,0.00566,0.24160,0.56719,0.07124
0.00000,0.00000,15000.00000,86.20000,40.00000,0.23117,0.00566,0.23733,0.56192,0.05642
0.00000,0.00000,10000.00000,106.20000,20.00000,0.22944,0.00693,0.22960,0.56879,0.07722
0.00000,0.00000,15000.00000,46.20000,80.00000,0.23238,0.00566,0.24347,0.56763,0.07302
0.00000,0.00000,15000.00000,56.20000,70.00000,0.23085,0.00566,0.23813,0.56177,0.05556
0.00000,0.00000,10000.00000,106.20000,20.00000,0.22440,0.00693,0.22530,0.56996,0.07984
0.00000,0.00000,15000.00000,66.20000,60.00000,0.23380,0.00566,0.24507,0.56814,0.07488
0.00000,0.00000,15000.00000,56.20000,70.00000,0.23006,0.00566,0.23713,0.56255,0.05828
0.00000,0.00000,10000.00000,96.20000,30.00000,0.22381,0.00693,0.22490,0.56851,0.07631
0.00000,0.00000,11000.00000,66.20000,60.00000,0.23018,0.00661,0.24000,0.56695,0.07176
0.00000,0.00000,14000.00000,56.20000,70.00000,0.23048,0.00586,0.23743,0.56159,0.05529
0.00000,0.00000,10000.00000,96.20000,30.00000,0.22371,0.00693,0.22420,0.56765,0.07510
0.00000,0.00000,10000.00000,66.20000,60.00000,0.22795,0.00693,0.23740,0.56716,0.07057
0.00000,0.00000,10000.00000,56.20000,70.00000,0.23425,0.00693,0.24230,0.55944,0.04890
0.00000,0.00000,7000.00000,96.20000,30.00000,0.21642,0.00829,0.21357,0.56583,0.06739
0.00000,0.00000,8000.00000,36.20000,90.00000,0.22474,0.00775,0.23400,0.56725,0.07041
0.00000,0.00000,10000.00000,16.20000,110.00000,0.23484,0.00693,0.24320,0.55967,0.04964
0.00000,0.00000,5000.00000,106.20000,20.00000,0.23312,0.00980,0.22880,0.57018,0.08189
0.00000,0.00000,1000.00000,66.20000,60.00000,0.22849,0.02192,0.23500,0.56627,0.06805
0.00000,0.00000,9000.00000,56.20000,70.00000,0.23330,0.00731,0.24156,0.55940,0.04877
0.00000,0.00000,4000.00000,106.20000,20.00000,0.22990,0.01096,0.23125,0.56967,0.08189
0.00000,1.00000,19998.00000,116.20000,10.00000,0.22191,0.00490,0.22912,0.57382,0.09050
0.00000,1.00000,19998.00000,116.20000,10.00000,0.22590,0.00490,0.23377,0.57329,0.08855
0.00000,1.00000,19998.00000,116.20000,10.00000,0.22675,0.00490,0.23552,0.57341,0.08895
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22482,0.00490,0.23392,0.57424,0.09217
0.00000,1.00000,19998.00000,76.20000,50.00000,0.22581,0.00490,0.23182,0.57273,0.08643
0.00000,1.00000,19998.00000,116.20000,10.00000,0.22202,0.00490,0.23022,0.57351,0.08914
0.00000,1.00000,19998.00000,76.20000,50.00000,0.22084,0.00490,0.22847,0.57409,0.09256
0.00000,1.00000,19998.00000,116.20000,10.00000,0.22160,0.00490,0.22997,0.57362,0.08997
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22514,0.00490,0.23267,0.57334,0.08837
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22394,0.00490,0.23122,0.57366,0.09025
0.00000,1.00000,19998.00000,76.20000,50.00000,0.22265,0.00490,0.23112,0.57279,0.08731
0.00000,1.00000,19998.00000,76.20000,50.00000,0.22591,0.00490,0.23362,0.57382,0.08970
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22534,0.00490,0.23227,0.57232,0.08513
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22520,0.00490,0.23302,0.57335,0.09063
0.00000,1.00000,19998.00000,76.20000,50.00000,0.22679,0.00490,0.23402,0.57280,0.08717
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22682,0.00490,0.23377,0.57197,0.08469
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22594,0.00490,0.23457,0.57332,0.08747
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22396,0.00490,0.23257,0.57331,0.08863
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22369,0.00490,0.23312,0.57379,0.09017
0.00000,1.00000,19998.00000,116.20000,10.00000,0.22501,0.00490,0.23167,0.57271,0.08666
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22522,0.00490,0.23522,0.57428,0.09245
0.00000,1.00000,19998.00000,76.20000,50.00000,0.22224,0.00490,0.22797,0.57264,0.08591
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22421,0.00490,0.23102,0.57243,0.08553
0.00000,1.00000,19998.00000,76.20000,50.00000,0.22629,0.00490,0.23612,0.57335,0.08823
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22571,0.00490,0.23292,0.57354,0.09025
0.00000,1.00000,19998.00000,76.20000,50.00000,0.22185,0.00490,0.22902,0.57325,0.08882
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22779,0.00490,0.23527,0.57242,0.08514
0.00000,1.00000,19998.00000,76.20000,50.00000,0.21987,0.00490,0.22537,0.57264,0.08740
0.00000,1.00000,19998.00000,116.20000,10.00000,0.22589,0.00490,0.23322,0.57273,0.08648
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22734,0.00490,0.23552,0.57359,0.08862
0.00000,1.00000,19998.00000,76.20000,50.00000,0.22821,0.00490,0.23592,0.57253,0.08621
0.00000,1.00000,19998.00000,116.20000,10.00000,0.22293,0.00490,0.23022,0.57374,0.08971
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22396,0.00490,0.23247,0.57335,0.08912
0.00000,1.00000,19998.00000,76.20000,50.00000,0.22456,0.00490,0.23382,0.57451,0.09282
0.00000,1.00000,19998.00000,116.20000,10.00000,0.22333,0.00490,0.23137,0.57272,0.08622
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22142,0.00490,0.22852,0.57347,0.08891
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22493,0.00490,0.23317,0.57271,0.08620
0.00000,1.00000,19998.00000,76.20000,50.00000,0.22549,0.00490,0.23307,0.57365,0.09012
0.00000,1.00000,19998.00000,116.20000,10.00000,0.22490,0.00490,0.23207,0.57356,0.08911
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22636,0.00490,0.23482,0.57315,0.08823
0.00000,1.00000,19998.00000,76.20000,50.00000,0.22537,0.00490,0.23202,0.57260,0.08592
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22529,0.00490,0.23292,0.57345,0.08928
0.00000,1.00000,19998.00000,76.20000,50.00000,0.22073,0.00490,0.22742,0.57325,0.08920
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22618,0.00490,0.23502,0.57366,0.09027
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22098,0.00490,0.22787,0.57349,0.09006
0.00000,1.00000,19998.00000,26.20000,100.00000,0.21971,0.00490,0.22662,0.57340,0.08978
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22544,0.00490,0.23272,0.57300,0.08804
0.00000,1.00000,19998.00000,116.20000,10.00000,0.22538,0.00490,0.23337,0.57282,0.08625
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22737,0.00490,0.23592,0.57374,0.09032
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22296,0.00490,0.23082,0.57430,0.09341
0.00000,1.00000,19998.00000,76.20000,50.00000,0.22330,0.00490,0.23082,0.57295,0.08891
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22270,0.00490,0.22992,0.57315,0.08936
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22367,0.00490,0.23322,0.57318,0.08747
0.00000,1.00000,19998.00000,76.20000,50.00000,0.22235,0.00490,0.23067,0.57392,0.09165
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22441,0.00490,0.23202,0.57349,0.09007
0.00000,1.00000,19998.00000,76.20000,50.00000,0.21909,0.00490,0.22757,0.57317,0.08882
0.00000,1.00000,19998.00000,76.20000,50.00000,0.22618,0.00490,0.23522,0.57389,0.09082
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22455,0.00490,0.23277,0.57336,0.08797
0.00000,1.00000,19998.00000,76.20000,50.00000,0.22238,0.00490,0.23087,0.57320,0.08819
0.00000,1.00000,19998.00000,76.20000,50.00000,0.22199,0.00490,0.22832,0.57328,0.08845
0.00000,1.00000,19998.00000,116.20000,10.00000,0.22601,0.00490,0.23522,0.57313,0.08868
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22362,0.00490,0.23292,0.57350,0.08925
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22107,0.00490,0.22852,0.57283,0.08650
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22560,0.00490,0.23267,0.57332,0.09011
0.00000,1.00000,19998.00000,76.20000,50.00000,0.22394,0.00490,0.23147,0.57275,0.08736
0.00000,1.00000,19998.00000,116.20000,10.00000,0.22240,0.00490,0.22977,0.57315,0.08830
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22489,0.00490,0.23357,0.57359,0.08937
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22525,0.00490,0.23332,0.57292,0.08728
0.00000,1.00000,19998.00000,76.20000,50.00000,0.22079,0.00490,0.22737,0.57313,0.08885
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22204,0.00490,0.22962,0.57274,0.08689
0.00000,1.00000,19998.00000,116.20000,10.00000,0.22708,0.00490,0.23427,0.57253,0.08559
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22098,0.00490,0.22887,0.57463,0.09316
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22842,0.00490,0.23662,0.57258,0.08669
0.00000,1.00000,19998.00000,116.20000,10.00000,0.22866,0.00490,0.23607,0.57230,0.08532
0.00000,1.00000,19998.00000,116.20000,10.00000,0.22622,0.00490,0.23302,0.57279,0.08562
0.00000,1.00000,19998.00000,76.20000,50.00000,0.22337,0.00490,0.23077,0.57262,0.08678
0.00000,1.00000,19998.00000,116.20000,10.00000,0.22553,0.00490,0.23377,0.57313,0.08847
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22574,0.00490,0.23397,0.57350,0.08928
0.00000,1.00000,19998.00000,116.20000,10.00000,0.22659,0.00490,0.23302,0.57260,0.08664
0.00000,1.00000,19998.00000,116.20000,10.00000,0.22440,0.00490,0.23267,0.57382,0.09001
0.00000,1.00000,19998.00000,116.20000,10.00000,0.22431,0.00490,0.23372,0.57412,0.09017
0.00000,1.00000,19998.00000,76.20000,50.00000,0.23012,0.00490,0.23712,0.57276,0.08650
0.00000,1.00000,19998.00000,76.20000,50.00000,0.22619,0.00490,0.23412,0.57292,0.08763
0.00000,1.00000,19998.00000,116.20000,10.00000,0.22307,0.00490,0.23157,0.57356,0.09071
0.00000,1.00000,19998.00000,116.20000,10.00000,0.22495,0.00490,0.23387,0.57355,0.09001
0.00000,1.00000,19998.00000,76.20000,50.00000,0.22201,0.00490,0.23007,0.57365,0.08990
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22396,0.00490,0.23032,0.57223,0.08598
0.00000,1.00000,19998.00000,116.20000,10.00000,0.22308,0.00490,0.23122,0.57306,0.08795
0.00000,1.00000,19998.00000,116.20000,10.00000,0.22306,0.00490,0.23122,0.57356,0.08873
0.00000,1.00000,19998.00000,116.20000,10.00000,0.22407,0.00490,0.23267,0.57458,0.09395
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22555,0.00490,0.23377,0.57413,0.09163
0.00000,1.00000,19998.00000,116.20000,10.00000,0.22363,0.00490,0.23047,0.57271,0.08701
0.00000,1.00000,19998.00000,116.20000,10.00000,0.22561,0.00490,0.23462,0.57377,0.09125
0.00000,1.00000,19998.00000,116.20000,10.00000,0.22823,0.00490,0.23617,0.57278,0.08612
0.00000,1.00000,19998.00000,116.20000,10.00000,0.22217,0.00490,0.22952,0.57335,0.08906
0.00000,1.00000,19998.00000,76.20000,50.00000,0.22232,0.00490,0.22992,0.57327,0.08944
0.00000,1.00000,19998.00000,116.20000,10.00000,0.22449,0.00490,0.23172,0.57338,0.08874
0.00000,1.00000,19998.00000,76.20000,50.00000,0.22675,0.00490,0.23457,0.57280,0.08767
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22498,0.00490,0.23362,0.57440,0.09129
0.00000,1.00000,19998.00000,116.20000,10.00000,0.22396,0.00490,0.23137,0.57266,0.08673
0.00000,1.00000,19998.00000,116.20000,10.00000,0.22212,0.00490,0.23077,0.57325,0.08988
0.00000,1.00000,19998.00000,76.20000,50.00000,0.22578,0.00490,0.23342,0.57349,0.08896
0.00000,1.00000,19998.00000,116.20000,10.00000,0.22674,0.00490,0.23437,0.57394,0.09053
0.00000,1.00000,19998.00000,76.20000,50.00000,0.22834,0.00490,0.23717,0.57332,0.08868
0.00000,1.00000,19998.00000,116.20000,10.00000,0.22191,0.00490,0.22802,0.57177,0.08434
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22557,0.00490,0.23392,0.57285,0.08648
0.00000,1.00000,19998.00000,76.20000,50.00000,0.22228,0.00490,0.23102,0.57362,0.09058
0.00000,1.00000,19998.00000,116.20000,10.00000,0.22500,0.00490,0.23432,0.57374,0.08980
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22202,0.00490,0.22902,0.57369,0.09100
0.00000,1.00000,19998.00000,26.20000,100.00000,0.22272,0.00490,0.23082,0.57306,0.08827
0.00000,1.00000,19998.00000,116.20000,10.00000,0.22827,0.00490,0.23552,0.57301,0.08689
