iteration,fidelity,n_samples,water_shielding_mm,veto_thickness_mm,y_cnp,y_cnp_err,y_raw,log_prop,bce
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69240,0.02192,0.24600,0.90591,0.99571
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69685,0.02192,0.26100,0.90024,0.97927
0.00000,0.00000,1000.00000,16.20000,110.00000,0.68779,0.02192,0.24800,0.90254,0.99173
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69240,0.02192,0.24600,0.90591,0.99571
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69685,0.02192,0.26100,0.90024,0.97927
0.00000,0.00000,1000.00000,16.20000,110.00000,0.68779,0.02192,0.24800,0.90254,0.99173
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69240,0.02192,0.24600,0.90591,0.99571
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69685,0.02192,0.26100,0.90024,0.97927
0.00000,0.00000,1000.00000,16.20000,110.00000,0.68779,0.02192,0.24800,0.90254,0.99173
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69240,0.02192,0.24600,0.90591,0.99571
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69685,0.02192,0.26100,0.90024,0.97927
0.00000,0.00000,1000.00000,16.20000,110.00000,0.68779,0.02192,0.24800,0.90254,0.99173
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69240,0.02192,0.24600,0.90591,0.99571
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69685,0.02192,0.26100,0.90024,0.97927
0.00000,0.00000,1000.00000,16.20000,110.00000,0.68779,0.02192,0.24800,0.90254,0.99173
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69240,0.02192,0.24600,0.90591,0.99571
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69685,0.02192,0.26100,0.90024,0.97927
0.00000,0.00000,1000.00000,16.20000,110.00000,0.68779,0.02192,0.24800,0.90254,0.99173
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69240,0.02192,0.24600,0.90591,0.99571
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69685,0.02192,0.26100,0.90024,0.97927
0.00000,0.00000,1000.00000,16.20000,110.00000,0.68779,0.02192,0.24800,0.90254,0.99173
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69240,0.02192,0.24600,0.90591,0.99571
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69685,0.02192,0.26100,0.90024,0.97927
0.00000,0.00000,1000.00000,16.20000,110.00000,0.68779,0.02192,0.24800,0.90254,0.99173
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69240,0.02192,0.24600,0.90591,0.99571
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69685,0.02192,0.26100,0.90024,0.97927
0.00000,0.00000,1000.00000,16.20000,110.00000,0.68779,0.02192,0.24800,0.90254,0.99173
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69240,0.02192,0.24600,0.90591,0.99571
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69685,0.02192,0.26100,0.90024,0.97927
0.00000,0.00000,1000.00000,16.20000,110.00000,0.68779,0.02192,0.24800,0.90254,0.99173
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69240,0.02192,0.24600,0.90591,0.99571
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69685,0.02192,0.26100,0.90024,0.97927
0.00000,0.00000,1000.00000,16.20000,110.00000,0.68779,0.02192,0.24800,0.90254,0.99173
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69240,0.02192,0.24600,0.90591,0.99571
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69685,0.02192,0.26100,0.90024,0.97927
0.00000,0.00000,1000.00000,16.20000,110.00000,0.68779,0.02192,0.24800,0.90254,0.99173
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69240,0.02192,0.24600,0.90591,0.99571
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69685,0.02192,0.26100,0.90024,0.97927
0.00000,0.00000,1000.00000,16.20000,110.00000,0.68779,0.02192,0.24800,0.90254,0.99173
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69240,0.02192,0.24600,0.90591,0.99571
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69685,0.02192,0.26100,0.90024,0.97927
0.00000,0.00000,1000.00000,16.20000,110.00000,0.68779,0.02192,0.24800,0.90254,0.99173
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69240,0.02192,0.24600,0.90591,0.99571
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69685,0.02192,0.26100,0.90024,0.97927
0.00000,0.00000,1000.00000,16.20000,110.00000,0.68779,0.02192,0.24800,0.90254,0.99173
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69240,0.02192,0.24600,0.90591,0.99571
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69685,0.02192,0.26100,0.90024,0.97927
0.00000,0.00000,1000.00000,16.20000,110.00000,0.68779,0.02192,0.24800,0.90254,0.99173
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69240,0.02192,0.24600,0.90591,0.99571
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69685,0.02192,0.26100,0.90024,0.97927
0.00000,0.00000,1000.00000,16.20000,110.00000,0.68779,0.02192,0.24800,0.90254,0.99173
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69240,0.02192,0.24600,0.90591,0.99571
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69685,0.02192,0.26100,0.90024,0.97927
0.00000,0.00000,1000.00000,16.20000,110.00000,0.68779,0.02192,0.24800,0.90254,0.99173
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69527,0.02192,0.24700,0.90551,0.97196
0.00000,0.00000,1000.00000,16.20000,110.00000,0.68819,0.02192,0.25600,0.89435,0.97082
0.00000,0.00000,1000.00000,16.20000,110.00000,0.70173,0.02192,0.27300,0.89721,0.96734
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69240,0.02192,0.24600,0.90591,0.99571
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69685,0.02192,0.26100,0.90024,0.97927
0.00000,0.00000,1000.00000,16.20000,110.00000,0.68779,0.02192,0.24800,0.90254,0.99173
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69240,0.02192,0.24600,0.90591,0.99571
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69685,0.02192,0.26100,0.90024,0.97927
0.00000,0.00000,1000.00000,16.20000,110.00000,0.68779,0.02192,0.24800,0.90254,0.99173
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69240,0.02192,0.24600,0.90591,0.99571
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69685,0.02192,0.26100,0.90024,0.97927
0.00000,0.00000,1000.00000,16.20000,110.00000,0.68779,0.02192,0.24800,0.90254,0.99173
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69240,0.02192,0.24600,0.90591,0.99571
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69685,0.02192,0.26100,0.90024,0.97927
0.00000,0.00000,1000.00000,16.20000,110.00000,0.68779,0.02192,0.24800,0.90254,0.99173
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69240,0.02192,0.24600,0.90591,0.99571
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69685,0.02192,0.26100,0.90024,0.97927
0.00000,0.00000,1000.00000,16.20000,110.00000,0.68779,0.02192,0.24800,0.90254,0.99173
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69240,0.02192,0.24600,0.90591,0.99571
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69685,0.02192,0.26100,0.90024,0.97927
0.00000,0.00000,1000.00000,16.20000,110.00000,0.68779,0.02192,0.24800,0.90254,0.99173
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69240,0.02192,0.24600,0.90591,0.99571
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69685,0.02192,0.26100,0.90024,0.97927
0.00000,0.00000,1000.00000,16.20000,110.00000,0.68779,0.02192,0.24800,0.90254,0.99173
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69240,0.02192,0.24600,0.90591,0.99571
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69685,0.02192,0.26100,0.90024,0.97927
0.00000,0.00000,1000.00000,16.20000,110.00000,0.68779,0.02192,0.24800,0.90254,0.99173
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69240,0.02192,0.24600,0.90591,0.99571
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69685,0.02192,0.26100,0.90024,0.97927
0.00000,0.00000,1000.00000,16.20000,110.00000,0.68779,0.02192,0.24800,0.90254,0.99173
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69240,0.02192,0.24600,0.90591,0.99571
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69685,0.02192,0.26100,0.90024,0.97927
0.00000,0.00000,1000.00000,16.20000,110.00000,0.68779,0.02192,0.24800,0.90254,0.99173
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69240,0.02192,0.24600,0.90591,0.99571
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69685,0.02192,0.26100,0.90024,0.97927
0.00000,0.00000,1000.00000,16.20000,110.00000,0.68779,0.02192,0.24800,0.90254,0.99173
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69240,0.02192,0.24600,0.90591,0.99571
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69685,0.02192,0.26100,0.90024,0.97927
0.00000,0.00000,1000.00000,16.20000,110.00000,0.68779,0.02192,0.24800,0.90254,0.99173
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69240,0.02192,0.24600,0.90591,0.99571
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69685,0.02192,0.26100,0.90024,0.97927
0.00000,0.00000,1000.00000,16.20000,110.00000,0.68779,0.02192,0.24800,0.90254,0.99173
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69240,0.02192,0.24600,0.90591,0.99571
0.00000,0.00000,1000.00000,16.20000,110.00000,0.69685,0.02192,0.26100,0.90024,0.97927
0.00000,0.00000,1000.00000,16.20000,110.00000,0.68779,0.02192,0.24800,0.90254,0.99173
0.00000,0.00000,1000.00000,36.20000,90.00000,0.68283,0.02192,0.26600,0.88139,0.91023
0.00000,0.00000,1000.00000,36.20000,90.00000,0.66115,0.02192,0.25700,0.86910,0.88179
0.00000,0.00000,1000.00000,36.20000,90.00000,0.67454,0.02192,0.27300,0.87060,0.88730
0.00000,0.00000,1000.00000,36.20000,90.00000,0.66110,0.02192,0.24500,0.87679,0.90988
0.00000,0.00000,1000.00000,36.20000,90.00000,0.66023,0.02192,0.22600,0.88994,0.93187
0.00000,0.00000,1000.00000,36.20000,90.00000,0.66857,0.02192,0.22000,0.90430,0.97534
0.00000,0.00000,1000.00000,36.20000,90.00000,0.67635,0.02192,0.24200,0.89125,0.93936
0.00000,0.00000,1000.00000,36.20000,90.00000,0.66129,0.02192,0.24600,0.87583,0.89672
0.00000,0.00000,1000.00000,36.20000,90.00000,0.66086,0.02192,0.24300,0.88036,0.91528
0.00000,0.00000,1000.00000,36.20000,90.00000,0.68283,0.02192,0.26600,0.88139,0.91023
0.00000,0.00000,1000.00000,36.20000,90.00000,0.66115,0.02192,0.25700,0.86910,0.88179
0.00000,0.00000,1000.00000,36.20000,90.00000,0.67454,0.02192,0.27300,0.87060,0.88730
0.00000,0.00000,1000.00000,36.20000,90.00000,0.66073,0.02192,0.24100,0.87618,0.89263
0.00000,0.00000,1000.00000,36.20000,90.00000,0.67894,0.02192,0.26400,0.88239,0.91208
0.00000,0.00000,1000.00000,36.20000,90.00000,0.67114,0.02192,0.24800,0.88701,0.92628
0.00000,0.00000,1000.00000,36.20000,90.00000,0.67635,0.02192,0.24200,0.89125,0.93936
0.00000,0.00000,1000.00000,36.20000,90.00000,0.66129,0.02192,0.24600,0.87583,0.89672
0.00000,0.00000,1000.00000,36.20000,90.00000,0.66086,0.02192,0.24300,0.88036,0.91528
0.00000,0.00000,1000.00000,36.20000,90.00000,0.67635,0.02192,0.24200,0.89125,0.93936
0.00000,0.00000,1000.00000,36.20000,90.00000,0.66129,0.02192,0.24600,0.87583,0.89672
0.00000,0.00000,1000.00000,36.20000,90.00000,0.66086,0.02192,0.24300,0.88036,0.91528
0.00000,0.00000,1000.00000,36.20000,90.00000,0.67635,0.02192,0.24200,0.89125,0.93936
0.00000,0.00000,1000.00000,36.20000,90.00000,0.66129,0.02192,0.24600,0.87583,0.89672
0.00000,0.00000,1000.00000,36.20000,90.00000,0.66086,0.02192,0.24300,0.88036,0.91528
0.00000,0.00000,1000.00000,36.20000,90.00000,0.67635,0.02192,0.24200,0.89125,0.93936
0.00000,0.00000,1000.00000,36.20000,90.00000,0.66129,0.02192,0.24600,0.87583,0.89672
0.00000,0.00000,1000.00000,36.20000,90.00000,0.66086,0.02192,0.24300,0.88036,0.91528
